Channel,Tstatistics,PValue
1,0,0		
2,0,0		
3,0,0		
4,0,0		
5,-2.5186,0.0164
6,-2.6804,0.0107
7,0,0		
8,-2.6611,0.0115
9,-3.3189,0.0022
10,-3.4769,0.0013
11,0,0		
12,-2.4432,0.0191
13,0,0		
14,0,0		
15,0,0		
16,0,0		
