Channel,Tstatistics,PValue
1,0,0		
2,0,0		
3,0,0		
4,0,0		
5,-3.2339,0.0026
6,-2.435,0.0197
7,0,0		
8,-3.1595,0.0031
9,0,0		
10,0,0		
11,0,0		
12,0,0		
13,0,0		
14,0,0		
15,0,0		
16,0,0		
