Channel,Tstatistics,PValue
1,2.7027,0.0102
2,2.1744,0.0356
3,2.0565,0.0466
4,0,0		
5,0,0		
6,0,0		
7,0,0		
8,0,0		
9,0,0		
10,0,0		
11,0,0		
12,0,0		
13,0,0		
14,2.9528,0.0054
15,0,0		
16,0,0		
