Channel,Tstatistics,PValue
1,0,0		
2,0,0		
3,0,0		
4,0,0		
5,-3.4757,0.0013
6,0,0	
7,-2.0597,0.0465
8,0,0		
9,0,0
10,0,0		
11,0,0		
12,0,0		
13,0,0		
14,0,0		
15,0,0		
16,0,0		
